日本語,かな,Romaji,Meaning
危ない,あぶない,abunai,dangerous
赤い,あかい,akai,red; crimson; scarlet
明るい,あかるい,akarui,bright; light
甘い,あまい,amai,sweet; sugary; naive
青い,あおい,aoi,blue; azure
新しい,あたらしい,atarashii,new; fresh; recent; latest
暖かい,あたたかい,atatakai,warm
厚い,あつい,atsui,thick
暑い,あつい,atsui,hot; sultry (weather)
熱い,あつい,atsui,hot (temperature)
小さい,ちいさい,chiisai,small; little; tiny
近い,ちかい,chikai,near; close
古い,ふるい,furui,old (not used for people)
太い,ふとい,futoi,fat; thick
早い,はやい,hayai,fast; early
速い,はやい,hayai,fast; quick; hasty; brisk
低い,ひくい,hikui,"short,low"
広い,ひろい,hiroi,spacious; vast; wide
欲しい,ほしい,hoshii,want
細い,ほそい,hosoi,thin; slender
忙しい,いそがしい,isogashii,busy
痛い,いたい,itai,painful; sore
辛い,からい,karai,spicy
軽い,かるい,karui,light
可愛い,かわいい,kawaii,cute
黄色い,きいろい,kiiroi,yellow
汚い,きたない,kitanai,dirty
暗い,くらい,kurai,dark; gloomy; murky
黒い,くろい,kuroi,black
丸い,まるい,marui,"round,circular"
不味い,まずい,mazui,unpleasant
短い,みじかい,mijikai,short
難しい,むずかしい,muzukashii,difficult
長い,ながい,nagai,long (distance); long (time)
温い,ぬるい,nurui,luke warm
美味しい,おいしい,oishii,delicious
重い,おもい,omoi,heavy
面白い,おもしろい,omoshiroi,interesting
多い,おおい,ooi,many; numerous
大きい,おおきい,ookii,big; large; great; important
遅い,おそい,osoi,slow; time-consuming; late
寒い,さむい,samui,cold
狭い,せまい,semai,narrow
白い,しろい,shiroi,white
少ない,すくない,sukunai,few; a little; scarce
涼しい,すずしい,suzushii,"refreshing, cool"
高い,たかい,takai,high; tall; expensive
楽しい,たのしい,tanoshii,enjoyable; fun
遠い,とおい,tooi,far
詰まらない,つまらない,tsumaranai,boring
冷たい,つめたい,tsumetai,cold to the touch
強い,つよい,tsuyoi,powerful
煩い,うるさい,urusai,"noisy, annoying"
薄い,うすい,usui,thin; weak
若い,わかい,wakai,young
悪い,わるい,warui,bad; poor; undesirable
易しい,やさしい,yasashii,"easy, simple"
安い,やすい,yasui,cheap; inexpensive
良い,よい / いい,yoi / ii,good
弱い,よわい,yowai,weak
